model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.0005,3,64_32_16,32,30,32,8725.129825330552,53.45640849575743
LSTM,0.0005,3,64_32_16,32,30,32,8872.306287875024,54.58689243926285
GRU,0.0005,3,64_32_16,64,30,32,8774.156805367777,54.28686106026397
LSTM,0.0005,3,64_32_16,64,30,32,8733.413181304173,53.86136496195423
GRU,0.0005,3,64_32_16,128,30,32,8856.462462348112,54.04687329575324
LSTM,0.0005,3,64_32_16,128,30,32,8765.149773821877,53.73088268469766
GRU,0.001,1,16,16,30,32,8799.634623933212,54.26866685571841
LSTM,0.001,1,16,16,30,32,8698.11346834525,53.07883336596303
GRU,0.001,1,16,32,30,32,8592.387591117375,52.80236528107201
LSTM,0.001,1,16,32,30,32,8369.554039045424,52.16878540030978
GRU,0.001,1,16,64,30,32,8497.275080465024,51.97293492345054
LSTM,0.001,1,16,64,30,32,8428.95810541054,52.045759344123056
GRU,0.001,1,16,128,30,32,8448.49532077546,51.6888509049906
LSTM,0.001,1,16,128,30,32,8345.464287606097,51.357941435807525
GRU,0.001,1,32,16,30,32,8736.958980397347,53.148707930329095
LSTM,0.001,1,32,16,30,32,8627.538694227474,53.56749656369524
GRU,0.001,1,32,32,30,32,8514.966021669094,52.5111215158017
LSTM,0.001,1,32,32,30,32,8423.17977888902,52.23790220142761
GRU,0.001,1,32,64,30,32,8390.877990419482,51.660204913197894
LSTM,0.001,1,32,64,30,32,8400.087450124103,51.786570832214416
GRU,0.001,1,32,128,30,32,8399.310474064534,52.10137774606866
LSTM,0.001,1,32,128,30,32,8324.962639111163,51.12788077852838
GRU,0.001,1,64,16,30,32,8679.316862030908,53.583610808636955
LSTM,0.001,1,64,16,30,32,8514.883681083753,52.36967903438866
GRU,0.001,1,64,32,30,32,8460.703926036402,51.93668990150036
LSTM,0.001,1,64,32,30,32,8389.524408629608,52.07682223755506
GRU,0.001,1,64,64,30,32,8463.065127822389,51.92853666775842
LSTM,0.001,1,64,64,30,32,8394.740342596286,51.88895583096873
GRU,0.001,1,64,128,30,32,8353.57454457805,51.54450263676402
LSTM,0.001,1,64,128,30,32,8358.581746750742,51.31757435997288
GRU,0.001,1,128,16,30,32,8640.729149527184,52.941155083803665
LSTM,0.001,1,128,16,30,32,8466.74186002268,52.77672459262358
GRU,0.001,1,128,32,30,32,8486.634780177392,51.95737999968438
LSTM,0.001,1,128,32,30,32,8373.687365487393,52.382843752069675
GRU,0.001,1,128,64,30,32,8340.329444222816,52.05652525687235
LSTM,0.001,1,128,64,30,32,8280.286554055732,51.51234678514383
GRU,0.001,1,128,128,30,32,8389.214962303484,51.75764565036126
LSTM,0.001,1,128,128,30,32,8364.009497036357,51.9402476694183
GRU,0.001,2,32_16,16,30,32,8890.473383675553,55.379284413301896
LSTM,0.001,2,32_16,16,30,32,8737.613136647735,54.07310762557614
GRU,0.001,2,32_16,32,30,32,8537.130571140628,52.75299900539253
LSTM,0.001,2,32_16,32,30,32,8779.172496144587,54.06027243791238
GRU,0.001,2,32_16,64,30,32,8508.674713444005,52.299176943404
LSTM,0.001,2,32_16,64,30,32,8478.920991427283,52.019615763823346
GRU,0.001,2,32_16,128,30,32,8520.099126429626,52.53240800333683
LSTM,0.001,2,32_16,128,30,32,8468.78026698594,51.974772046485384
GRU,0.001,2,64_32,16,30,32,8557.198021670258,53.4632289672989
LSTM,0.001,2,64_32,16,30,32,8502.238080087438,53.01602830983478
GRU,0.001,2,64_32,32,30,32,8503.04943723961,52.05889767993482
LSTM,0.001,2,64_32,32,30,32,8386.07812310819,51.50984627112102
GRU,0.001,2,64_32,64,30,32,8513.563558201418,52.03315028041489
LSTM,0.001,2,64_32,64,30,32,8431.738103953361,51.49594535279395
GRU,0.001,2,64_32,128,30,32,8425.344911135335,51.82757872342668
LSTM,0.001,2,64_32,128,30,32,8412.482379818588,51.2955614995069
GRU,0.001,2,128_64,16,30,32,8545.218745634282,53.458029590154204
LSTM,0.001,2,128_64,16,30,32,8501.354883404298,52.754155403923946
GRU,0.001,2,128_64,32,30,32,8463.450867730013,52.3754156154989
LSTM,0.001,2,128_64,32,30,32,8392.90341504857,51.44140181394592
GRU,0.001,2,128_64,64,30,32,8359.262084015032,51.696644679296334
LSTM,0.001,2,128_64,64,30,32,8319.356689016553,51.206837866500365
GRU,0.001,2,128_64,128,30,32,8398.753494368806,52.182573582066695
LSTM,0.001,2,128_64,128,30,32,8334.119962253037,51.02768013904455
